Title,Description,Category,Collection,Tags,Product type ,Vendor,Price,weight,skunumber,Img_src,,,,
Shay & Blue Watermelons Eau de Parfum Spray 100ml,Body-drenching watermelon freshness with a hose-full of green mandarin and cut grass. Summer loving had me a blast. Summer loving happened so fast. I met a fragrance crazy for me.,Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Shay & Blue,Fragrance Direct,110.5,100ml,2170,https://static.thcdn.com/images/small/webp//productimg/512/512/14904269-2555085838468374.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14904269-4135084095109706.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14904269-1195084095159179.jpg,,
Shay & Blue Clementine Eau de Parfum Spray 100ml,Don't tease me honey! Playful bursts of clementine freshness flirt with the uplifting bitterness of petitgrain. A fascinating citrus floral keeps you wanting more.,Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Shay & Blue,Fragrance Direct,110.5,100ml,2171,https://static.thcdn.com/images/small/webp//productimg/512/512/14904274-1115085838629957.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14904274-1385084093103882.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14904274-6575084093149113.jpg,,
Shay & Blue Framboise Noire Eau de Parfum Spray 100ml,Punch-drunk black raspberry and forest berries deepen with the heart of black wood. This wine-like fragrance is smooth and elegant like textures of velvet and cashmere.,Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Shay & Blue,Fragrance Direct,110.5,100ml,2172,https://static.thcdn.com/images/small/webp//productimg/512/512/14904270-1845085838483872.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14904270-4105084095237935.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14904270-2085084095282524.jpg,,
Shay & Blue Blueberry Musk Eau de Parfum Spray 100ml,The Boo-berry. Soft blueberry & orange blossom fused with magnolia and silky cashmere. A sensual fragrance to enchant and entice any boo.,Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Shay & Blue,Fragrance Direct,110.5,100ml,2173,https://static.thcdn.com/images/small/webp//productimg/512/512/14904271-1255085838519464.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14904271-1485084095363584.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14904271-1405084095440348.jpg,,
Versace Pour Homme Eau de Toilette Spray 30ml,"New for 2008, Versace launches Versace Pour Homme at Fragrance Direct. Versace pour Homme is a refreshing and vibrant scent, perfect for a sophisticated and stylish Versace man. The fragrance opens with a unique blend of top notes that include rose, bergamot, neroli and lemon. The vibrant start of Versace is then followed by heart notes of geranium, cedar, clary sage and hyacinth. The base notes of Versace pour Homme centre around amber, musk and tonka bean that create a warming finish to this fresh scent.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Versace,Fragrance Direct,71.4,30ml,2174,https://static.thcdn.com/images/small/webp//productimg/512/512/10043885-7955061535726353.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/10043885-9725058491524125.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/10043885-7365058487520808.jpg,,
Tommy Hilfiger Impact Spark Eau de Toilette Spray 50ml,"For those who dare to dream and disrupt, Impact Spark is a spirited woody fruity scent that captures the electricity of a big idea in the making. Ignite your passions as zesty Italian bergamot and green fig blend with a spiced cardamom heart for diffused, long lasting freshness. Indulge in an insatiable need to do more as AkigalawoodÂ®, a spicy, woody extract of patchouli, encourages your ambitions to run wild.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Tommy Hilfiger,Fragrance Direct,63.325,50ml,2175,https://static.thcdn.com/images/small/webp//productimg/512/512/14603690-4045056697641806.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14603690-1505058639582351.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14603690-6215058524099157.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14603690-6745058528597303.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14603690-4795058521503110.jpg
GIVENCHY Pour Homme Blue Label Eau de Toilette Spray 50ml,"Blue label is a relaxed version of GIVENCHY pour Homme. This fresh, dynamic and vibrant scent is ideal for the active man who likes to relax, unwind and feel free.
Still as elegant, but with a rebel touch.
The bottle is identical to that of GIVENCHY pour Homme but dressed in blue the colour of sky and adventure.

It reveals a woody fresh fragrance affiliated with GIVENCHY pour Homme, delivered by a combination of Davana, Cedar and Oliban woods.

Blue Label distinguishes itself by added freshness and sparkle thanks to a cocktail of grapefruit and bergamot and to the presence of Hedione.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",GIVENCHY,Fragrance Direct,98.09,50ml,2176,https://static.thcdn.com/images/small/webp//productimg/512/512/14574894-1025060510876748.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14574894-2105058629081415.jpg,,,
Dolce&Gabbana Pour Homme Eau de Toilette Spray 75ml,"Dolce&Gabbana Pour Homme is the fragrance dedicated to the elegance and style of the Italian man.

An olfactory portrait that is able to project into the collective imagination the iconic power of irresistible sex appeal and tenderness.

The fragrance opens up with neroli and citrus hints of mandarin and bergamot.
In the heart the lavander, like a Mediterranean breeze, evokes of a mother's fresh laundry and the classic essence of a father. A touch of tobacco and tonka bean provide structure for the last dry notes of wood.

With an updated, smooth glass bottle, Dolce and Gabbana Pour Homme EDT is a great scent for men.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Dolce&Gabbana,Fragrance Direct,105.4,75ml,2177,https://static.thcdn.com/images/small/webp//productimg/512/512/14568063-1555061543160887.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14568063-7825058627437340.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14568063-1175058501211074.jpg,,
Shay & Blue Tallulah's Camellia Eau de Parfum Spray 100ml,A rebellious and spirited floral is guaranteed to stand out. Elegant bluebells set the scene as the soft whisper of white flowers dance on the breeze. Blond woods embrace you as you succumb to temptation.,Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",Shay & Blue,Fragrance Direct,110.5,100ml,2178,https://static.thcdn.com/images/small/webp//productimg/512/512/14903492-2125085838382271.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14903492-1165084094545223.jpg,,,
David Beckham Bold Instinct Eau de Parfum Spray 75ml,"Exuding power and conviction, this captivating woody aromatic David Beckham perfume is inspired by David's unapologetic personality.",Perfume & Cologne,"Men’s Fragrance, Men’s Perfume","Aerosol products,
AfterShave,
Men’s,
Men’s fragrance,
All Men’s perfume",David Beckham,Fragrance Direct,57.715,75ml,2179,https://static.thcdn.com/images/small/webp//productimg/512/512/14872086-7065107101496824.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14872086-2115107101541740.jpg,https://static.thcdn.com/images/small/webp//productimg/512/512/14872086-1635107101592773.jpg,,
